epoch,embedding_loss,embedding_weight_loss_DC_Nsrc_Ref,loss,mask_loss,mask_weight_loss_MSE_Nsrc_Ref,val_embedding_loss,val_embedding_weight_loss_DC_Nsrc_Ref,val_loss,val_mask_loss,val_mask_weight_loss_MSE_Nsrc_Ref
0,0.25003120929002765,0.25003120929002765,0.40092531010508536,0.149517375305295,0.149517375305295,0.24447659775614738,0.24447659775614738,0.3946139231324196,0.14880760312080382,0.14880760312080382
1,0.2431322332471609,0.2431322332471609,0.3925055734813213,0.1480860374122858,0.1480860374122858,0.24176677614450454,0.24176677614450454,0.39152958393096926,0.1485185593366623,0.1485185593366623
2,0.24146731242537497,0.24146731242537497,0.3905634133517742,0.1478843680769205,0.1478843680769205,0.237854528427124,0.237854528427124,0.38592084497213364,0.146888916939497,0.146888916939497
3,0.24041303299367428,0.24041303299367428,0.38978327229619025,0.1482109272480011,0.1482109272480011,0.24001361578702926,0.24001361578702926,0.38931210339069366,0.14816328659653663,0.14816328659653663
4,0.24006865598261357,0.24006865598261357,0.38912452429533007,0.1479397675395012,0.1479397675395012,0.2396761178970337,0.2396761178970337,0.38987484872341155,0.14910098984837533,0.14910098984837533
5,0.23960177890956402,0.23960177890956402,0.3884767228364944,0.14778881296515464,0.14778881296515464,0.24050607532262802,0.24050607532262802,0.3889043003320694,0.14732641652226447,0.14732641652226447
6,0.23928255960345268,0.23928255960345268,0.38842290654778483,0.14807469204068183,0.14807469204068183,0.23888405337929725,0.23888405337929725,0.38639582097530367,0.14645229950547217,0.14645229950547217
7,0.23812027998268603,0.23812027998268603,0.3871725943684578,0.14799369484186173,0.14799369484186173,0.2402934491634369,0.2402934491634369,0.38951230943202975,0.14816302433609962,0.14816302433609962
8,0.23844896703958512,0.23844896703958512,0.3874070283770561,0.14787751704454422,0.14787751704454422,0.23953581601381302,0.23953581601381302,0.38755103945732117,0.14693861529231073,0.14693861529231073
9,0.23764004588127136,0.23764004588127136,0.38656312629580497,0.14783025711774825,0.14783025711774825,0.23583441004157066,0.23583441004157066,0.3847905799746513,0.14786629974842072,0.14786629974842072
10,0.23721099354326725,0.23721099354326725,0.38644543826580047,0.14813338622450828,0.14813338622450828,0.23510937094688417,0.23510937094688417,0.383620822429657,0.1474124349653721,0.1474124349653721
11,0.23659905537962914,0.23659905537962914,0.3858239290118217,0.14810944728553296,0.14810944728553296,0.23585508838295938,0.23585508838295938,0.386230044066906,0.14925573617219925,0.14925573617219925
12,0.23673231177031995,0.23673231177031995,0.3858721545338631,0.1479976975917816,0.1479976975917816,0.23559292405843735,0.23559292405843735,0.38444449156522753,0.1476931467652321,0.1476931467652321
13,0.23599789910018443,0.23599789910018443,0.38507245406508445,0.14789918571710586,0.14789918571710586,0.23552039191126822,0.23552039191126822,0.3839429751038551,0.14723758399486542,0.14723758399486542
14,0.23546824499964714,0.23546824499964714,0.3843396505713463,0.1476657970249653,0.1476657970249653,0.23349917829036712,0.23349917829036712,0.3834630876779556,0.14874666035175324,0.14874666035175324
15,0.2345372074842453,0.2345372074842453,0.3839435216784477,0.14815719485282897,0.14815719485282897,0.23587595745921136,0.23587595745921136,0.38479433953762054,0.14764969050884247,0.14764969050884247
16,0.23403570480644703,0.23403570480644703,0.38355414792895315,0.1482220307737589,0.1482220307737589,0.23802724853157997,0.23802724853157997,0.39047839790582656,0.15113111361861228,0.15113111361861228
17,0.23302853666245937,0.23302853666245937,0.3823801834881306,0.14799659118056296,0.14799659118056296,0.23396832570433618,0.23396832570433618,0.38498545438051224,0.14964264780282974,0.14964264780282974
18,0.23248445749282837,0.23248445749282837,0.38150506287813185,0.147611293643713,0.147611293643713,0.2337417058646679,0.2337417058646679,0.3818489983677864,0.14667594730854033,0.14667594730854033
19,0.23234632298350333,0.23234632298350333,0.38202155858278275,0.14820217959582804,0.14820217959582804,0.2317741982638836,0.2317741982638836,0.3816594034433365,0.1483946770429611,0.1483946770429611
20,0.23176869325339794,0.23176869325339794,0.3805572679638863,0.14727391339838505,0.14727391339838505,0.2355798915028572,0.2355798915028572,0.3859858512878418,0.14887239187955856,0.14887239187955856
21,0.2310438170284033,0.2310438170284033,0.3805869261920452,0.14798000998795033,0.14798000998795033,0.23295071125030517,0.23295071125030517,0.38278376758098603,0.14825729429721832,0.14825729429721832
